"cod_unico","hda_nombre","NDVI","NBR","Alerta_Combustion"
"CA01003400007A",NA,NA,NA,NA
"CA010034000007",NA,NA,NA,NA
"CA012287000005",NA,NA,NA,NA
"CA011539000032",NA,NA,NA,NA
"CA010197000029",NA,NA,NA,NA
"CA010197000028",NA,NA,NA,NA
"CA011539000025",NA,NA,NA,NA
"CA010034000001",NA,NA,NA,NA
"CA010034000002",NA,NA,NA,NA
"CA011789000001",NA,NA,NA,NA
"CA010141000109",NA,NA,NA,NA
"CA010003000058",NA,NA,NA,NA
"CA01077300093A",NA,NA,NA,NA
"CA010716000001",NA,NA,NA,NA
"CA01032400003A",NA,NA,NA,NA
"CA010131000001",NA,NA,NA,NA
"CA010101000402",NA,NA,NA,NA
"CA010101000405",NA,NA,NA,NA
"CA010101000406",NA,NA,NA,NA
"CA010101000403",NA,NA,NA,NA
"CA01201600001A",NA,NA,NA,NA
"CA01146800002D",NA,NA,NA,NA
"CA01030200910E",NA,NA,NA,NA
"CA010304000113",NA,NA,NA,NA
"CA01019700005A",NA,NA,NA,NA
"CA010303000013",NA,NA,NA,NA
"CA010303000014",NA,NA,NA,NA
"CA010303000004",NA,NA,NA,NA
"CA01030300020C",NA,NA,NA,NA
"CA01120700032A",NA,NA,NA,NA
"CA011207000034",NA,NA,NA,NA
"CA01030400104B",NA,NA,NA,NA
"CA010638000004",NA,NA,NA,NA
"CA010304000117",NA,NA,NA,NA
"CA010355000407",NA,NA,NA,NA
"CA010141000106",NA,NA,NA,NA
"CA01014100110T",NA,NA,NA,NA
"CA010302000911",NA,NA,NA,NA
"CA010173000008",NA,NA,NA,NA
"CA010173000003",NA,NA,NA,NA
"CA011491000005",NA,NA,NA,NA
"CA011032000003",NA,NA,NA,NA
"CA011032000002",NA,NA,NA,NA
"CA01103700008A",NA,NA,NA,NA
"CA01103700010B",NA,NA,NA,NA
"CA010476000005",NA,NA,NA,NA
"CA010197000026",NA,NA,NA,NA
"CA01019700027A",NA,NA,NA,NA
"CA01030200901A",NA,NA,NA,NA
"CA010141000101",NA,NA,NA,NA
"CA010304000125",NA,NA,NA,NA
"CA011207000030",NA,NA,NA,NA
"CA010476000003",NA,NA,NA,NA
"CA010197000030",NA,NA,NA,NA
"CA011539000018",NA,NA,NA,NA
"CA011539000014",NA,NA,NA,NA
"CA010251000004",NA,NA,NA,NA
"CA012287000003",NA,NA,NA,NA
"CA01153900001A",NA,NA,NA,NA
"CA010197000007",NA,NA,NA,NA
"CA011207000041",NA,NA,NA,NA
"CA01010600707Z",NA,NA,NA,NA
"CA010441000001",NA,NA,NA,NA
"CA011135000001",NA,NA,NA,NA
"CA01019700021A",NA,NA,NA,NA
"CA011539000012",NA,NA,NA,NA
"CA010251000008",NA,NA,NA,NA
"CA010304000112",NA,NA,NA,NA
"CA01030200903E",NA,NA,NA,NA
"CA01030200903T",NA,NA,NA,NA
"CA01022400009A",NA,NA,NA,NA
"CA010224000009",NA,NA,NA,NA
"CA011539000002",NA,NA,NA,NA
"CA011539000006",NA,NA,NA,NA
"CA01030300019T",NA,NA,NA,NA
"CA01120700035A",NA,NA,NA,NA
"CA011207000035",NA,NA,NA,NA
"CA01022400010B",NA,NA,NA,NA
"CA010303000016",NA,NA,NA,NA
"CA011539000010",NA,NA,NA,NA
"CA01030400114T",NA,NA,NA,NA
"CA010301000922",NA,NA,NA,NA
"CA01030100922A",NA,NA,NA,NA
"CA010301000927",NA,NA,NA,NA
"CA010301000925",NA,NA,NA,NA
"CA01030400113A",NA,NA,NA,NA
"CA01030400109B",NA,NA,NA,NA
"CA010224000002",NA,NA,NA,NA
"CA01022400002E",NA,NA,NA,NA
"CA010197000011",NA,NA,NA,NA
"CA010197000013",NA,NA,NA,NA
"CA010197000015",NA,NA,NA,NA
"CA010224000003",NA,NA,NA,NA
"CA010303000012",NA,NA,NA,NA
"CA012287000004",NA,NA,NA,NA
"CA010252000042",NA,NA,NA,NA
"CA01030400115A",NA,NA,NA,NA
"CA01120700036A",NA,NA,NA,NA
"CA010141000107",NA,NA,NA,NA
"CA01014100107T",NA,NA,NA,NA
"CA012213000001",NA,NA,NA,NA
"CA011033000001",NA,NA,NA,NA
"CA011882000038",NA,NA,NA,NA
"CA010424000004",NA,NA,NA,NA
"CA010628000007",NA,NA,NA,NA
"CA010355000411",NA,NA,NA,NA
"CA010356000411",NA,NA,NA,NA
"CA011211000010",NA,NA,NA,NA
"CA010130000025",NA,NA,NA,NA
"CA010130000018",NA,NA,NA,NA
"CA01013000024C",NA,NA,NA,NA
"CA010130000021",NA,NA,NA,NA
"CA01013000023T",NA,NA,NA,NA
"CA01013000024A",NA,NA,NA,NA
"CA010130000024",NA,NA,NA,NA
"CA01013000024T",NA,NA,NA,NA
"CA01030400102B",NA,NA,NA,NA
"CA010773000059",NA,NA,NA,NA
"CA01077300066C",NA,NA,NA,NA
"CA010773000066",NA,NA,NA,NA
"CA01077300066D",NA,NA,NA,NA
"CA01077300066B",NA,NA,NA,NA
"CA010773000070",NA,NA,NA,NA
"CA010563000004",NA,NA,NA,NA
"CA011331000001",NA,NA,NA,NA
"CA010985000001",NA,NA,NA,NA
"CA01098500004B",NA,NA,NA,NA
"CA010985000002",NA,NA,NA,NA
"CA010301000931",NA,NA,NA,NA
"CA01022400001E",NA,NA,NA,NA
"CA011124000001",NA,NA,NA,NA
"CA011124000008",NA,NA,NA,NA
"CA01112400008A",NA,NA,NA,NA
"CA011124000003",NA,NA,NA,NA
"CA011124000002",NA,NA,NA,NA
"CA01112400002A",NA,NA,NA,NA
"CA011124000007",NA,NA,NA,NA
"CA011124000004",NA,NA,NA,NA
"CA01112400006A",NA,NA,NA,NA
"CA010141000108",NA,NA,NA,NA
"CA010252000041",NA,NA,NA,NA
"CA011353000003",NA,NA,NA,NA
"CA01135300004A",NA,NA,NA,NA
"CA010303000019",NA,NA,NA,NA
"CA012241000011",NA,NA,NA,NA
"CA012241000008",NA,NA,NA,NA
"CA012241000012",NA,NA,NA,NA
"CA012241000009",NA,NA,NA,NA
"CA012241000007",NA,NA,NA,NA
"CA011354000004",NA,NA,NA,NA
"CA01030400121T",NA,NA,NA,NA
"CA010224000005",NA,NA,NA,NA
"CA011468000003",NA,NA,NA,NA
"CA011468000001",NA,NA,NA,NA
"CA01011000003A",NA,NA,NA,NA
"CA01153900020A",NA,NA,NA,NA
"CA010304000101",NA,NA,NA,NA
"CA010355000401",NA,NA,NA,NA
"CA010224000003",NA,NA,NA,NA
"CA01035600412A",NA,NA,NA,NA
"CA01001400005A",NA,NA,NA,NA
"CA010130000022",NA,NA,NA,NA
"CA01030200905A",NA,NA,NA,NA
"CA01010100401A",NA,NA,NA,NA
"CA01030200911A",NA,NA,NA,NA
"CA010303000018",NA,NA,NA,NA
"CA011539000029",NA,NA,NA,NA
"CA011539000030",NA,NA,NA,NA
"CA011557000001",NA,NA,NA,NA
"CA01146800002A",NA,NA,NA,NA
"CA01022400010D",NA,NA,NA,NA
"CA01030300008G",NA,NA,NA,NA
"CA01153900023A",NA,NA,NA,NA
"CA01121100001A",NA,NA,NA,NA
"CA011211000005",NA,NA,NA,NA
"CA011211000002",NA,NA,NA,NA
"CA011211000003",NA,NA,NA,NA
"CA011211000006",NA,NA,NA,NA
"CA011211000007",NA,NA,NA,NA
"CA01121100008C",NA,NA,NA,NA
"CA011211000009",NA,NA,NA,NA
"CA011211000014",NA,NA,NA,NA
"CA011211000013",NA,NA,NA,NA
"CA010251000001",NA,NA,NA,NA
"CA01121100011B",NA,NA,NA,NA
"CA011211000012",NA,NA,NA,NA
"CA011331000003",NA,NA,NA,NA
"CA012118000003",NA,NA,NA,NA
"CA010224000008",NA,NA,NA,NA
"CA01149100001A",NA,NA,NA,NA
"CA01030400117B",NA,NA,NA,NA
"CA011331000002",NA,NA,NA,NA
"CA010230000007",NA,NA,NA,NA
"CA01030300020D",NA,NA,NA,NA
"CA011479000013",NA,NA,NA,NA
"CA011479000011",NA,NA,NA,NA
"CA011479000012",NA,NA,NA,NA
"CA011479000020",NA,NA,NA,NA
"CA011479000016",NA,NA,NA,NA
"CA01149100007A",NA,NA,NA,NA
"CA011479000019",NA,NA,NA,NA
"CA01000300069B",NA,NA,NA,NA
"CA011211000004",NA,NA,NA,NA
"CA012016000004",NA,NA,NA,NA
"CA012118000002",NA,NA,NA,NA
"CA011656000001",NA,NA,NA,NA
"CA01165600002A",NA,NA,NA,NA
"CA011655000006",NA,NA,NA,NA
"CA01165500006A",NA,NA,NA,NA
"CA011655000007",NA,NA,NA,NA
"CA011655000002",NA,NA,NA,NA
"CA01165500005B",NA,NA,NA,NA
"CA01165500005A",NA,NA,NA,NA
"CA011655000004",NA,NA,NA,NA
