"COD_HDA_KEY","HDA_LABEL","INGENIO_FULL","MUNICIPIO","CORREGIMIENTO","CATEGORIA_ALERTA","FECHA_VISITA","RADICADO"
"MY_000448","El Carmen_448","MAYAGÜEZ","Florida","La Diana","Alerta Inminente","",""
"MY_000609","El Descanso_609","MAYAGÜEZ","Pradera","Bolo - Hartonal","Alerta Inminente + Focalización Operativa","",""
"MY_000696","El Tesoro_696","MAYAGÜEZ","Candelaria","Buchitolo","Alerta Inminente","",""
"MY_000714","Villa Juanis_714","MAYAGÜEZ","Candelaria","Cabuyal","Alerta Inminente","",""
"MY_000830",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"MY_000A07","Villa Fidela_A07","MAYAGÜEZ","Florida","El Remolino","Alerta Inminente","",""
"MY_000A83",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"MY_000B18",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"MY_000B31",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"MY_000B77",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"MY_000B93",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"MY_000C18",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"MY_000C25",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"MY_000C74",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"PC_001012",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"PC_001037",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"PC_001063",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"PC_001094",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"PC_001220",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"PC_001265",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"PC_001294",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"PC_002017",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"PC_002077",NA,"OTRO",NA,NA,"Alerta Inminente + Focalización Operativa","",""
"PC_002281","GENOVA_2281","PICHICHI","El Cerrito","San Antonio","Focalización Operativa","",""
"PC_002282",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"PC_002283",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"PC_002448",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"PC_002493","HERRAGRICOLA_2493","PICHICHI","Palmira","Palmaseca","Alerta Inminente + Focalización Operativa","",""
"PC_002497",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"PC_003010",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"PC_003030",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"PC_003041",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"PC_003229",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"PC_003296",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"PR_080101","PROVIDENCIA_080101","PROVIDENCIA","El Cerrito","Santa Helena","Focalización Operativa","",""
"PR_080102","LA PAZ_080102","PROVIDENCIA","El Cerrito","Santa Helena","Focalización Operativa","",""
"PR_080104","SAMARIA_080104","PROVIDENCIA","El Cerrito","El Placer","Focalización Operativa","",""
"PR_080109",NA,"OTRO",NA,NA,"Alerta Inminente + Focalización Operativa + Top 10 Regional","",""
"PR_080111",NA,"OTRO",NA,NA,"Alerta Inminente + Focalización Operativa + Top 10 Regional","",""
"PR_080117",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"PR_080121","PIEDECHINCHE_080121","PROVIDENCIA","El Cerrito","Santa Helena","Focalización Operativa","",""
"PR_080151","SAN PABLO AZCARATE_080151","PROVIDENCIA","Palmira","Zamorano","Alerta Inminente","",""
"PR_080153",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"PR_080167",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"PR_080174",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"PR_080206",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"PR_080211",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"PR_080214",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"PR_080216","LA UNION MOLINA_080216","PROVIDENCIA","El Cerrito","San Antonio","Focalización Operativa","",""
"PR_080274",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"PR_080280",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"PR_080281",NA,"OTRO",NA,NA,"Alerta Inminente + Focalización Operativa","",""
"PR_080392",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"PR_080405",NA,"OTRO",NA,NA,"Alerta Inminente + Focalización Operativa + Top 10 Regional","",""
"PR_080435","TURIN_080435","PROVIDENCIA","El Cerrito","San Antonio","Focalización Operativa","",""
"PR_080489","EL PLACER_080489","PROVIDENCIA","El Cerrito","El Placer","Focalización Operativa","",""
"PR_080579",NA,"OTRO",NA,NA,"Alerta Inminente + Focalización Operativa","",""
"PR_080655",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"PR_081063","JOSEPILLA PALMA_081063","PROVIDENCIA","Palmira","La Herradura","Alerta Inminente","",""
"PR_081363","ESPERANZA INESA_081363","PROVIDENCIA","Palmira","Guayabal","Alerta Inminente","",""
"PR_081369","TRANSITO CENTRAL TUMACO_081369","PROVIDENCIA","Palmira","La Herradura","Alerta Inminente + Focalización Operativa","",""
"PR_081485",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"PR_082512","JOSEPILLA II_082512","PROVIDENCIA","Palmira","Matapalo","Alerta Inminente + Focalización Operativa","",""
"PR_082524",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"PR_082527",NA,"OTRO",NA,NA,"Alerta Inminente","",""
"PR_082531","LA LINDA_082531","PROVIDENCIA","Palmira","Bolo - La Italia","Alerta Inminente","",""
