"cod_hda_key","fecha_visita","radicado","hda_label","ingenio_full","municipio","corregimiento","coordenadas","categoria_alerta","boletin_n"
"CC_000619",NA,NA,"DELIRIO_0619","CENTRAL CASTILLA","Pradera","La Floresta","3.4171, -76.2212","Alerta Boletín Histórico","3, 4"
"CC_000620",NA,NA,"TESORITO_0620","CENTRAL CASTILLA","Candelaria","Madrevieja","3.4544, -76.3063","Alerta Boletín Histórico","2, 3"
"CC_000637",NA,NA,"LA CLARA_0637","CENTRAL CASTILLA",NA,NA,"3.2795, -76.2574","Focalización Operativa","3, 4, 5, 6, 7"
"CC_000672",NA,NA,"LIBANO 2_0672","CENTRAL CASTILLA","Pradera","La Granja","3.388, -76.2612","Alerta Boletín Histórico","3, 4"
"CC_000676",NA,NA,"MAYAPAN_0676","CENTRAL CASTILLA","Pradera","La Granja","3.3937, -76.2371","Alerta Boletín Histórico + Focalización Operativa","5, 6"
"CC_000682",NA,NA,"REGINA 3_0682","CENTRAL CASTILLA","Candelaria","La Regina","3.3658, -76.3179","Alerta Inminente","2, 3, 7"
"CC_000684",NA,NA,"BALSILLA_0684","CENTRAL CASTILLA","Florida","El Remolino","3.3162, -76.2508","Alerta Inminente","2, 5, 6, 7"
"CC_000687",NA,NA,"SAN RAFAEL H._0687","CENTRAL CASTILLA","Florida","El Libano","3.3027, -76.2272","Alerta Inminente","5, 7"
"CC_000703",NA,NA,"TIERRA GRATA_0703","CENTRAL CASTILLA","Florida","El Remolino","3.3063, -76.2699","Alerta Inminente + Focalización Operativa + Top 10 Regional","3, 4, 5, 6, 7"
"CC_000706",NA,NA,"ARADO 2_0706","CENTRAL CASTILLA","Pradera","La Floresta","3.4071, -76.2529","Alerta Boletín Histórico + Focalización Operativa","5, 6"
"CC_000724",NA,NA,"EL CUBO_0724","CENTRAL CASTILLA","Pradera","La Floresta","3.3915, -76.2418","Alerta Inminente + Focalización Operativa","5, 7"
"CC_000725",NA,NA,"LA ESTRELLA_0725","CENTRAL CASTILLA","Florida","Santa Rosa","3.2818, -76.233","Alerta Boletín Histórico + Focalización Operativa + Ficha Técnica Regional","2, 3, 4, 5, 6"
"CC_000732",NA,NA,"REFUGIO ATENAS_0732","CENTRAL CASTILLA","Florida","La Diana","3.3479, -76.2244","Alerta Inminente","6, 7"
