"COD_HDA_8","LAT","LON","Notas","Fecha_Georref"
"CA010204",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA010217",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA010225",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA010226",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA010227",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA010249",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA010272",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA010273",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA010287",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA010288",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA010317",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA010321",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA010385",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA010417",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA010432",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA010435",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA010523",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA010553",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA010593",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA010603",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA010619",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA010687",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA010708",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA010759",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA010778",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA010789",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA010806",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA010817",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA010846",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA010847",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA010923",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA010928",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA011003",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA011007",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA011017",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA011047",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA011053",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA011054",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA011055",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA011057",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA011095",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA011123",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA011160",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA011172",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA011223",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA011321",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA011377",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
"CA011379",NA,NA,"Detectado en reportes sin geometría catastral","2026-06-03"
