Ingenio,Hacienda,Suerte,Municipio,Corregimiento,Codigo_14,Municipio_Clean,h8,Es_Hacienda_Ausente,Hda_Real,DAR
Castilla,CASTILLA,251,Pradera,La Granja,CC000506000251,PRADERA,CC000506,True,CASTILLA,SURORIENTE
Castilla,AVELINA,190,Pradera,La Granja,CC000503000190,PRADERA,CC000503,True,AVELINA,SURORIENTE
Castilla,EL LIBANO,020,Pradera,La Tupia,CC000107000020,PRADERA,CC000107,True,EL LIBANO,SURORIENTE
Castilla,SAN JORGE,020,Pradera,La Tupia,CC000101000020,PRADERA,CC000101,True,SAN JORGE,SURORIENTE
Castilla,SAN JORGE,050,Pradera,La Tupia,CC000101000050,PRADERA,CC000101,True,SAN JORGE,SURORIENTE
Castilla,SAN RAFAEL,066,Pradera,La Tupia,CC000105000066,PRADERA,CC000105,True,SAN RAFAEL,SURORIENTE
Castilla,SAN RAFAEL,200,Pradera,La Tupia,CC000105000200,PRADERA,CC000105,True,SAN RAFAEL,SURORIENTE
Castilla,CHAMORRAS,270,Pradera,La Tupia,CC000104000270,PRADERA,CC000104,True,CHAMORRAS,SURORIENTE
Castilla,OCASIONAL EL PALMAR,160,Candelaria,El Tiple,CC000107000160,CANDELARIA,CC000107,True,OCASIONAL EL PALMAR,SURORIENTE
Castilla,EL AMPARO,010,Pradera,La Granja,CC000135000010,PRADERA,CC000135,True,EL AMPARO,SURORIENTE
Castilla,CALANDA,155,Florida,Remolino,CC000110000155,FLORIDA,CC000110,True,CALANDA,SURORIENTE
Incauca,FLORESTA - ROJAS PROVIDENCIA,1,Palmira,nd,CA010851000001,PALMIRA,CA010851,True,FLORESTA - ROJAS PROVIDENCIA,SURORIENTE
Incauca,LA ARGELIA PROVIDENCIA,365X,El Cerrito,nd,CA01181000365X,EL CERRITO,CA011810,True,LA ARGELIA PROVIDENCIA,SURORIENTE
Incauca,FLORESTA - ROJAS PROVIDENCIA,002A,Palmira,nd,CA01085100002A,PALMIRA,CA010851,True,FLORESTA - ROJAS PROVIDENCIA,SURORIENTE
Providencia,LA LOMITA,033C,El Cerrito,nd,PR08041300033C,EL CERRITO,PR080413,True,LA LOMITA,CENTRO SUR
Providencia,EL ROSARIO ARBOLEDA,035D,El Cerrito,nd,PR08042300035D,EL CERRITO,PR080423,True,EL ROSARIO ARBOLEDA,SURORIENTE
Providencia,EL ROSARIO ARBOLEDA,035E,El Cerrito,nd,PR08042300035E,EL CERRITO,PR080423,True,EL ROSARIO ARBOLEDA,SURORIENTE
Providencia,EL RANCHO EMPRESA,4,El Cerrito,nd,PR080130000004,EL CERRITO,PR080130,True,EL RANCHO EMPRESA,CENTRO SUR
Providencia,LA ARGELIA,365,El Cerrito,nd,PR080111000365,EL CERRITO,PR080111,True,LA ARGELIA,CENTRO SUR
Pichichi,LA LOMITA,10,El Cerrito,San Antonio,PC002283000010,EL CERRITO,PC002283,True,LA LOMITA,SURORIENTE
Pichichi,LA LOMITA,20,El Cerrito,San Antonio,PC002283000020,EL CERRITO,PC002283,True,LA LOMITA,SURORIENTE
Pichichi,BELGICA,30,El Cerrito,San Antonio,PC002212000030,EL CERRITO,PC002212,True,BELGICA,SURORIENTE
Pichichi,BELGICA,40,El Cerrito,San Antonio,PC002212000040,EL CERRITO,PC002212,True,BELGICA,SURORIENTE
Pichichi,LA CRUZ,150,El Cerrito,San Antonio,PC002243000150,EL CERRITO,PC002243,True,LA CRUZ,SURORIENTE
Pichichi,EL ARBOLITO,170,El Cerrito,nd,PC002286000170,EL CERRITO,PC002286,True,EL ARBOLITO,SURORIENTE
Pichichi,LA UNION,10,El Cerrito,Santa Elena,PC002423000010,EL CERRITO,PC002423,True,LA UNION,SURORIENTE
Pichichi,EL ARBOLITO,30,El Cerrito,nd,PC002286000030,EL CERRITO,PC002286,True,EL ARBOLITO,SURORIENTE
Pichichi,EL ARBOLITO,160,El Cerrito,nd,PC002286000160,EL CERRITO,PC002286,True,EL ARBOLITO,SURORIENTE
Pichichi,EL ARBOLITO,40,El Cerrito,nd,PC002286000040,EL CERRITO,PC002286,True,EL ARBOLITO,SURORIENTE
Pichichi,EL RETIRO,50,El Cerrito,nd,PC002022000050,EL CERRITO,PC002022,True,EL RETIRO,SURORIENTE
Pichichi,EL RETIRO,70,El Cerrito,nd,PC002022000070,EL CERRITO,PC002022,True,EL RETIRO,SURORIENTE
Castilla,EL LIBANO,010,Pradera,La Tupia,CC000107000010,PRADERA,CC000107,True,EL LIBANO,SURORIENTE
Castilla,CHAMORRAS,90,Pradera,La Tupia,CC000104000090,PRADERA,CC000104,True,CHAMORRAS,SURORIENTE
Castilla,CASTILLA,220,Pradera,La Granja,CC000506000220,PRADERA,CC000506,True,CASTILLA,SURORIENTE
Castilla,CASTILLA,350,Pradera,La Granja,CC000506000350,PRADERA,CC000506,True,CASTILLA,SURORIENTE
